"",customerid,churn_probability
1869,7590-VHVEG,0.653499
1870,5575-GNVDE,0.062074
1871,7795-CFOCW,0.055316
1872,1452-KIOVK,0.346252
1873,6713-OKOMC,0.256712
1874,6388-TABGU,0.045636
1875,9763-GRSKD,0.150179
1876,7469-LKBCI,0.016627
1877,8091-TTVAX,0.184455
1878,5129-JLPIS,0.276714
1879,3655-SNQYZ,0.149220
1880,8191-XWSZG,0.016128
1881,9959-WOFKT,0.118489
1882,4183-MYFRB,0.506748
1883,1680-VDCWW,0.054043
1884,3638-WEABW,0.036611
1885,6322-HRPFA,0.102540
1886,6865-JZNKO,0.129349
1887,5248-YGIJN,0.013651
1888,3841-NFECX,0.024782
1889,4929-XIHVW,0.739503
1890,6827-IEAUQ,0.068681
1891,7310-EGVHZ,0.244088
1892,3413-BMNZE,0.511028
1893,6234-RAAPL,0.018422
1894,6572-ADKRS,0.334234
1895,8865-TNMNX,0.115709
1896,9489-DEDVP,0.011298
1897,9867-JCZSP,0.045133
1898,4671-VJLCL,0.010358
1899,4080-IIARD,0.289119
1900,3714-NTNFO,0.458049
1901,5948-UJZLF,0.457596
1902,7639-LIAYI,0.028562
1903,2954-PIBKO,0.018384
1904,8012-SOUDQ,0.498824
1905,6575-SUVOI,0.227183
1906,4667-QONEA,0.058209
1907,8769-KKTPH,0.126826
1908,5067-XJQFU,0.314442
1909,3957-SQXML,0.011498
1910,5954-BDFSG,0.060044
1911,0434-CSFON,0.549687
1912,1215-FIGMP,0.385496
1913,0526-SXDJP,0.006934
1914,0557-ASKVU,0.286981
1915,5122-CYFXA,0.441307
1916,8627-ZYGSZ,0.225109
1917,3410-YOQBQ,0.052207
1918,3170-NMYVV,0.006154
1919,7410-OIEDU,0.408345
1920,2273-QCKXA,0.338814
1921,0731-EBJQB,0.022903
1922,1891-QRQSA,0.193563
1923,8028-PNXHQ,0.006362
1924,5630-AHZIL,0.250877
1925,2673-CXQEU,0.271033
1926,6416-JNVRK,0.091920
1927,5590-ZSKRV,0.137038
1928,0191-ZHSKZ,0.243163
1929,3887-PBQAO,0.025162
1930,8108-UXRQN,0.200581
1931,9919-YLNNG,0.393678
1932,0318-ZOPWS,0.008793
1933,4445-ZJNMU,0.673830
1934,4808-YNLEU,0.093370
1935,1862-QRWPE,0.006788
1936,2796-NNUFI,0.009581
1937,3016-KSVCP,0.268313
1938,4767-HZZHQ,0.057718
1939,2424-WVHPL,0.641949
1940,7233-PAHHL,0.029836
1941,6067-NGCEU,0.352276
1942,9848-JQJTX,0.055208
1943,9803-FTJCG,0.047404
1944,3212-KXOCR,0.005113
1945,6380-ARCEH,0.240076
1946,3679-XASPY,0.187079
1947,7123-WQUHX,0.186142
1948,5386-THSLQ,0.090779
1949,6180-YBIQI,0.521666
1950,6728-DKUCO,0.175063
1951,9750-BOOHV,0.045874
1952,8597-CWYHH,0.202679
1953,2848-YXSMW,0.003411
1954,4549-ZDQYY,0.046448
1955,5712-AHQNN,0.411828
1956,5256-SKJGO,0.048704
1957,3071-VBYPO,0.348070
1958,9560-BBZXK,0.031465
1959,8402-OOOHJ,0.007025
1960,9445-ZUEQE,0.321282
1961,1091-SOZGA,0.230906
1962,2928-HLDBA,0.158821
1963,6497-TILVL,0.142948
1964,7219-TLZHO,0.108246
1965,4622-YNKIJ,0.114438
1966,6734-PSBAW,0.004843
1967,3930-ZGWVE,0.240095
1968,2639-UGMAZ,0.064448
1969,2876-GZYZC,0.615222
1970,8587-XYZSF,0.028505
1971,7799-LGRDP,0.009695
1972,7850-VWJUU,0.353693
1973,3774-VBNXY,0.004197
1974,6217-KDYWC,0.005514
1975,3146-MSEGF,0.017000
1976,1095-WGNGG,0.186563
1977,2636-SJDOU,0.077340
1978,1131-QQZEB,0.004459
1979,5716-EZXZN,0.074941
1980,6837-BJYDQ,0.062608
1981,6440-DKQGE,0.104526
1982,3466-BYAVD,0.150365
1983,3780-YVMFA,0.205831
1984,1679-JRFBR,0.093760
1985,9073-ZZIAY,0.013935
1986,3077-RSNTJ,0.105195
1987,6551-GNYDG,0.400510
1988,9167-APMXZ,0.537982
1989,2749-CTKAJ,0.036257
1990,6371-NZYEG,0.056536
1991,7554-NEWDD,0.031303
1992,8992-VONJD,0.148736
1993,4482-EWFMI,0.703810
1994,4648-YPBTM,0.045909
1995,2907-ILJBN,0.055979
1996,6345-FZOQH,0.003772
1997,5997-OPVFA,0.015889
1998,1159-WFSGR,0.051295
1999,7654-YWJUF,0.112903
2000,6727-IOTLZ,0.201524
2001,5918-VUKWP,0.024290
2002,1744-JHKYS,0.069741
2003,5947-SGKCL,0.445348
2004,3712-PKXZA,0.016338
2005,6582-OIVSP,0.481345
2006,5524-KHNJP,0.079442
2007,4827-USJHP,0.266106
2008,8167-GJLRN,0.426941
2009,0956-SYCWG,0.052221
2010,8017-UVSZU,0.192676
